Strain_label,Identification,genus,Isolation_source,person,time,newName
MB18-33,Bacteroides uniformis,Bacteroides,D1-S1,D1,S1,MB18-33
MB18-57_contigs,Phocaeicola vulgatus,Phocaeicola,D1-S1,D1,S1,MB18-57
MB18-61_contigs,Bacteroides ovatus,Bacteroides,D1-S1,D1,S1,MB18-61
MB18-64_contigs,Phocaeicola vulgatus,Phocaeicola,D1-S1,D1,S1,MB18-64
MB18-66_contigs,Phocaeicola vulgatus,Phocaeicola,D1-S1,D1,S1,MB18-66
MB18-68,Bacteroides xylanisolvens,Bacteroides,D1-S1,D1,S1,MB18-68
MB18-69,Bacteroides uniformis,Bacteroides,D1-S1,D1,S1,MB18-69
MB18-71,Bacteroides faecis,Bacteroides,D1-S1,D1,S1,MB18-71
MB18-73,Bacteroides stercoris,Bacteroides,D1-S1,D1,S1,MB18-73
MB18-74,Bacteroides uniformis,Bacteroides,D1-S1,D1,S1,MB18-74
MB18-76,Bacteroides uniformis,Bacteroides,D1-S1,D1,S1,MB18-76
MB18-78_contigs,Bacteroides ovatus,Bacteroides,D1-S1,D1,S1,MB18-78
MB18-80,Bacteroides uniformis,Bacteroides,D1-S1,D1,S1,MB18-80
MB20-100_L2_contigs,Phocaeicola vulgatus,Phocaeicola,D1-S2,D1,S2,MB20-100
MB20-110_L1_contigs,Bacteroides ovatus,Bacteroides,D1-S2,D1,S2,MB20-110
MB20-113_contigs,Phocaeicola vulgatus,Phocaeicola,D1-S2,D1,S2,MB20-113
MB20-121_L1,Bacteroides faecis,Bacteroides,D1-S2,D1,S2,MB20-121
MB20-122,Bacteroides xylanisolvens,Bacteroides,D1-S2,D1,S2,MB20-122
MB20-125,Bacteroides uniformis,Bacteroides,D1-S2,D1,S2,MB20-125
MB20-127,Bacteroides uniformis,Bacteroides,D1-S2,D1,S2,MB20-127
MB20-128,Phocaeicola vulgatus,Phocaeicola,D1-S2,D1,S2,MB20-128
MB20-130_L2contigs,Bacteroides ovatus,Bacteroides,D2-S2,D2,S2,MB20-130
MB20-133,Phocaeicola massiliensis,Phocaeicola,D2-S2,D2,S2,MB20-133
MB20-137_L2acontigs,Bacteroides ovatus,Bacteroides,D2-S2,D2,S2,MB20-137
MB20-138_contigs,Bacteroides ovatus,Bacteroides,D2-S2,D2,S2,MB20-138
MB20-15_L3_contigs,Bacteroides ovatus,Bacteroides,D2-S1,D2,S1,MB20-15
MB20-150,Bacteroides xylanisolvens,Bacteroides,D2-S2,D2,S2,MB20-150
MB20-153_contigs.fasta,Bacteroides thetaiotamicron,Bacteroides,D2-S2,D2,S2,MB20-153
MB20-156,Bacteroides uniformis,Bacteroides,D2-S2,D2,S2,MB20-156
MB20-157,Bacteroides uniformis,Bacteroides,D2-S2,D2,S2,MB20-157
MB20-163_L4contigs,Bacteroides ovatus,Bacteroides,D2-S2,D2,S2,MB20-163
MB20-168_L2contigs.fasta,Bacteroides thetaiotamicron,Bacteroides,D2-S2,D2,S2,MB20-168
MB20-17_L1_contigs.fasta,Bacteroides thetaiotamicron,Bacteroides,D2-S1,D2,S1,MB20-17
MB20-177_L1contigs.fasta,Bacteroides thetaiotamicron,Bacteroides,D2-S2,D2,S2,MB20-177
MB20-185_contigs,Phocaeicola vulgatus,Phocaeicola,D2-S2,D2,S2,MB20-185
MB20-19_L4_contigs,Bacteroides ovatus,Bacteroides,D2-S1,D2,S1,MB20-19
MB20-195_L2contigs,Bacteroides ovatus,Bacteroides,D2-S2,D2,S2,MB20-195
MB20-198_L2contigs,Bacteroides ovatus,Bacteroides,D2-S2,D2,S2,MB20-198
MB20-206,Phocaeicola massiliensis,Phocaeicola,D2-S2,D2,S2,MB20-206
