protein,scaffold,KO,AMG,KO.name,KO.evalue,KO.score,KO.v.score,Pfam,Pfam.name,Pfam.evalue,Pfam.score,Pfam.v.score.x,VOG,VOG.name,VOG.evalue,VOG.score,VOG.v.score.x,total.genes,all.KEGG,KEGG.v.score,all.Pfam,Pfam.v.score.y,all.VOG,VOG.v.score.y,KEGG.int.rep,KEGG.zero,Pfam.int.rep,Pfam.zero,VOG.redoxin,VOG.rec.tran,VOG.int,VOG.RnR,VOG.DNA,KEGG.restriction.check,KEGG.toxin.check,VOG.special,annotation.check,p_v.check,p_k.check,k_v.check,k.check,p.check,v.check,h.check,type,Quality,prophageID,newName
NODE_142_length_3280_cov_15.720584_1,NODE_142_length_3280_cov_15.720584,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,7,2,3.27,3,9.030000000000001,3,22.95,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,lytic,low quality draft,MB18-33_prophage1,MB18-33
NODE_142_length_3280_cov_15.720584_2,NODE_142_length_3280_cov_15.720584,K07741,,antB; anti-repressor protein,9.800000000000001e-30,96.8,2.25,PF03374.14,Phage antirepressor protein KilAC domain,1.8999999999999998e-35,111.6,2.71,VOG10124,sp|O34449|YOQD_BACSU SPBc2 prophage-derived putative antirepressor protein YoqD,6.5e-42,132.9,7.43,7,2,3.27,3,9.030000000000001,3,22.95,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,lytic,low quality draft,MB18-33_prophage1,MB18-33
NODE_142_length_3280_cov_15.720584_3,NODE_142_length_3280_cov_15.720584,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,7,2,3.27,3,9.030000000000001,3,22.95,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,lytic,low quality draft,MB18-33_prophage1,MB18-33
NODE_142_length_3280_cov_15.720584_4,NODE_142_length_3280_cov_15.720584,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,7,2,3.27,3,9.030000000000001,3,22.95,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,lytic,low quality draft,MB18-33_prophage1,MB18-33
NODE_142_length_3280_cov_15.720584_5,NODE_142_length_3280_cov_15.720584,,,,NA,NA,NA,PF10902.8,"WYL_2, Sm-like SH3 beta-barrel fold",9e-25,77.1,0.33,VOG00567,sp|P17308|Y13B_BPT4 Uncharacterized 11.5 kDa protein in Gp31-cd intergenic region,4.2e-18,54.1,5.52,7,2,3.27,3,9.030000000000001,3,22.95,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,lytic,low quality draft,MB18-33_prophage1,MB18-33
NODE_142_length_3280_cov_15.720584_6,NODE_142_length_3280_cov_15.720584,K19449,,"sinR; XRE family transcriptional regulator, master regulator for biofilm formation",6.6e-17,54.4,1.02,PF01381.22,Helix-turn-helix,1.2e-15,47.5,5.99,VOG02771,sp|P03034|RPC1_LAMBD Repressor protein cI,3.9e-19,58.6,10,7,2,3.27,3,9.030000000000001,3,22.95,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,lytic,low quality draft,MB18-33_prophage1,MB18-33
NODE_142_length_3280_cov_15.720584_7,NODE_142_length_3280_cov_15.720584,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,7,2,3.27,3,9.030000000000001,3,22.95,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,lytic,low quality draft,MB18-33_prophage1,MB18-33
NODE_113_length_9253_cov_45.911243_1,NODE_113_length_9253_cov_45.911243,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,11,1,1.02,3,7.07,2,10.07,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,lytic,low quality draft,MB18-33_prophage2,MB18-33
NODE_113_length_9253_cov_45.911243_1,NODE_113_length_9253_cov_45.911243,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,11,1,1.02,3,7.07,2,10.07,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,lytic,complete circular,MB18-33_prophage5,MB18-33
NODE_113_length_9253_cov_45.911243_2,NODE_113_length_9253_cov_45.911243,,,,NA,NA,NA,,,NA,NA,NA,,,NA,NA,NA,11,1,1.02,3,7.07,2,10.07,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,8,lytic,low quality draft,MB18-33_prophage2,MB18-33
